node,node_type,is_boundary,x,y,r,theta_rad
"('h', 'E')",h,1,1.0000000000,0.0000000000,1.0000000000,0.0000000000
"('h', 'N')",h,1,0.0000000000,1.0000000000,1.0000000000,1.5707963268
"('h', 'S')",h,1,-0.0000000000,-1.0000000000,1.0000000000,4.7123889804
"('h', 'W')",h,1,-1.0000000000,0.0000000000,1.0000000000,3.1415926536
"('v', 2, 5)",v,1,-1.1218904878,-1.4710070474,1.8500000000,4.0608293185
"('v', 2, 6)",v,1,-1.0269070274,-1.5388183639,1.8500000000,4.1239239736
"('v', 2, 10)",v,1,-0.5087049356,-1.7786847074,1.8500000000,4.4338246139
"('v', 2, 11)",v,1,-0.3464921492,-1.8172625541,1.8500000000,4.5239832729
"('v', 2, 12)",v,1,-0.1755605792,-1.8416510210,1.8500000000,4.6173483554
"('v', 2, 13)",v,1,0.0000000000,-1.8500000000,1.8500000000,4.7123889804
"('v', 3, 3)",v,1,-1.3629449861,-1.2509520234,1.8500000000,3.8841717967
"('v', 3, 4)",v,1,-1.2952542905,-1.3209149567,1.8500000000,3.9367989911
"('v', 3, 5)",v,1,-1.2155623023,-1.3945996878,1.8500000000,3.9954759878
"('v', 3, 6)",v,1,-1.1218904878,-1.4710070474,1.8500000000,4.0608293185
"('v', 3, 7)",v,1,-1.0122627285,-1.5484909326,1.8500000000,4.1334106739
"('v', 3, 8)",v,1,-0.8850105728,-1.6245788027,1.8500000000,4.2135753167
"('v', 3, 9)",v,1,-0.7391090921,-1.6959415526,1.8500000000,4.3013975120
"('v', 3, 10)",v,1,-0.5747632689,-1.7584502224,1.8500000000,4.3964776332
"('v', 3, 11)",v,0,-0.3743483021,-1.7054442159,1.7460459974,4.4963137984
"('v', 3, 12)",v,0,-0.1846648886,-1.7358963962,1.7456911008,4.6064074368
"('v', 3, 13)",v,1,0.0000000000,-1.8500000000,1.8500000000,4.7123889804
"('v', 3, 14)",v,1,0.2003765507,-1.8391164286,1.8500000000,4.8209135300
"('v', 3, 15)",v,1,0.3938705687,-1.8075856757,1.8500000000,4.9269341115
"('v', 3, 16)",v,1,0.5747632689,-1.7584502224,1.8500000000,5.0283003275
"('v', 4, 3)",v,1,-1.4539842160,-1.1438662071,1.8500000000,3.8081782105
"('v', 4, 4)",v,0,-1.3759302198,-1.1850124911,1.8158850663,3.8525786809
"('v', 4, 5)",v,0,-1.2887798145,-1.2372711900,1.7865590972,3.9066026747
"('v', 4, 6)",v,0,-1.1869912953,-1.2941869159,1.7560945614,3.9701674818
"('v', 4, 7)",v,0,-1.0665611672,-1.3515243362,1.7216767277,4.0442963798
"('v', 4, 8)",v,0,-0.9261315494,-1.4068099681,1.6842903351,4.1301869159
"('v', 4, 9)",v,0,-0.7663140463,-1.4572586795,1.6464628986,4.2282680397
"('v', 4, 10)",v,0,-0.5881986417,-1.4969802059,1.6083927937,4.3379979154
"('v', 4, 11)",v,0,-0.3914729016,-1.5101676910,1.5600825259,4.4587471834
"('v', 4, 12)",v,0,-0.1887506732,-1.5464903478,1.5579663707,4.5909386756
"('v', 4, 13)",v,0,0.0194120118,-1.6072175111,1.6073347362,4.7244664172
"('v', 4, 14)",v,0,0.2363915481,-1.6440701586,1.6609779199,4.8551945732
"('v', 4, 15)",v,0,0.4531625469,-1.6777659159,1.7378880178,4.9761928919
"('v', 4, 16)",v,1,0.6591676279,-1.7285826675,1.8500000000,5.0767012939
"('v', 4, 17)",v,1,0.8384783153,-1.6490767462,1.8500000000,5.1827762422
"('v', 5, 3)",v,1,-1.5471547517,-1.0143037880,1.8500000000,3.7218896247
"('v', 5, 4)",v,0,-1.4657025583,-1.0379976106,1.7960297963,3.7577949191
"('v', 5, 5)",v,0,-1.3766354406,-1.0752856651,1.7468155020,3.8047005623
"('v', 5, 6)",v,0,-1.2707337118,-1.1169450900,1.6918423391,3.8626704056
"('v', 5, 7)",v,0,-1.1408590955,-1.1566095283,1.6245938190,3.9338462691
"('v', 5, 8)",v,0,-0.9866404113,-1.1938780539,1.5488073181,4.0217467358
"('v', 5, 9)",v,0,-0.8118169020,-1.2293029914,1.4731709089,4.1287457751
"('v', 5, 10)",v,0,-0.6202443500,-1.2620442306,1.4062214241,4.2555966231
"('v', 5, 11)",v,0,-0.4145939895,-1.2917559946,1.3566582936,4.4018210763
"('v', 5, 12)",v,0,-0.1982769143,-1.3326797927,1.3473489394,4.5646918017
"('v', 5, 13)",v,0,0.0300071724,-1.3883095382,1.3886337906,4.7339997956
"('v', 5, 14)",v,0,0.2726150828,-1.4521807786,1.4775479678,4.8979572375
"('v', 5, 15)",v,0,0.5232204431,-1.5308251617,1.6177717106,5.0417309597
"('v', 5, 16)",v,0,0.7661279477,-1.6111275152,1.7840078201,5.1562638290
"('v', 5, 17)",v,1,0.9635700466,-1.5792506974,1.8500000000,5.2602338018
"('v', 6, 2)",v,1,-1.6698999720,-0.7961997762,1.8500000000,3.5865044415
"('v', 6, 3)",v,1,-1.6383421630,-0.8592641952,1.8500000000,3.6246254610
"('v', 6, 4)",v,0,-1.5630898213,-0.8773884981,1.7925011481,3.6530828106
"('v', 6, 5)",v,0,-1.4813256778,-0.9089287700,1.7379520340,3.6919459727
"('v', 6, 6)",v,0,-1.3784490159,-0.9416982507,1.6694062671,3.7409254960
"('v', 6, 7)",v,0,-1.2395010916,-0.9640906330,1.5702973301,3.8026530283
"('v', 6, 8)",v,0,-1.0677540983,-0.9827897279,1.4511975963,3.8855794629
"('v', 6, 9)",v,0,-0.8740688002,-1.0040310016,1.3311928935,3.9960794539
"('v', 6, 10)",v,0,-0.6663678670,-1.0301377305,1.2268781023,4.1382154297
"('v', 6, 11)",v,0,-0.4483817921,-1.0621322640,1.1528968634,4.3129326600
"('v', 6, 12)",v,0,-0.2197701669,-1.1041632902,1.1258221430,4.5159188406
"('v', 6, 13)",v,0,0.0262785092,-1.1611600704,1.1614573902,4.7350163724
"('v', 6, 14)",v,0,0.3008411677,-1.2455182560,1.2813356837,4.9493885833
"('v', 6, 15)",v,0,0.6009761949,-1.3822264371,1.5072233777,5.1225212973
"('v', 6, 16)",v,1,0.9185536732,-1.6058515341,1.8500000000,5.2319688526
"('v', 6, 17)",v,1,1.1219046739,-1.4709962280,1.8500000000,5.3639582861
"('v', 7, 2)",v,1,-1.7419722783,-0.6229226128,1.8500000000,3.4850185683
"('v', 7, 3)",v,1,-1.7215979405,-0.6772005104,1.8500000000,3.5163581697
"('v', 7, 4)",v,0,-1.6669888861,-0.7033634166,1.8093015343,3.5408656100
"('v', 7, 5)",v,0,-1.6071284333,-0.7413426661,1.7698730886,3.5737906506
"('v', 7, 6)",v,0,-1.5222355822,-0.7768285096,1.7089949389,3.6134627867
"('v', 7, 7)",v,0,-1.3709421568,-0.7752650253,1.5749661129,3.6562565963
"('v', 7, 8)",v,0,-1.1708060901,-0.7691592229,1.4008543147,3.7228370368
"('v', 7, 9)",v,0,-0.9503363336,-0.7738935565,1.2255816512,3.8250144313
